,Unnamed: 0,Time,Ticker,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Sales per Share,Payout Ratio,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
8,8,2018-03-31,DAL,17.762999999999995,0.386,3.307,0.02,824000000.0,824000000.0,0.083,732000000.0,45765921152.0,8.0,5.722,107000000.0,0.151,1.0,0.598,26631000000.0,38745921152.0,0.056,12.108,12.234000000000002,0.922,0.922,3.0860000000000003,14.101,0.386,39441000000.0,55.793,-12288000000.0
9,9,2017-12-31,DAL,17.574,0.412,3.283,0.018000000000000002,3364000000.0,3364000000.0,0.329,1043000000.0,47256495784.0,8.0,5.8210000000000015,731000000.0,1.025,1.0,0.617,27091000000.0,39926495784.0,0.029,12.458,12.584,0.971,0.971,3.1860000000000004,14.345999999999998,0.693,39030000000.0,54.743,-11155000000.0
0,0,2020-03-31,AAL,-6.187,0.373,-23.223000000000006,0.033,-2633000000.0,-2633000000.0,-0.309,-2890000000.0,38199656089.0,190.0,15.165,-978000000.0,-2.295,1.0,0.442,66659000000.0,5193656089.0,-0.263,-7.018,-6.5539999999999985,0.119,0.119,-1.97,19.986,-0.019,52430000000.0,123.058,-12038000000.0
1,1,2019-12-31,AAL,-0.269,0.448,-509.432,0.014,3154000000.0,3154000000.0,0.279,571000000.0,46533502608.0,14.0,8.208,-1156000000.0,-2.639,1.0,0.542,68515000000.0,12563502608.0,0.037000000000000005,7.452000000000001,7.5470000000000015,0.275,0.275,-106.47,25.825,0.105,53820000000.0,122.86,-10105000000.0
2,2,2019-09-30,AAL,0.359,0.489,381.344,0.015,841000000.0,841000000.0,0.071,557000000.0,46280951534.0,15.0,8.673,156000000.0,0.35,1.0,0.547,69399000000.0,12008951534.0,0.036000000000000004,7.524,7.576,0.265,0.265,75.056,26.75,0.104,54989000000.0,123.496,-9988000000.0
3,3,2019-06-30,AAL,-0.049,0.489,-2817.682,0.012,1157000000.0,1157000000.0,0.097,882000000.0,47457073100.0,15.0,9.034,-104000000.0,-0.234,1.0,0.555,69920000000.0,14506073100.0,0.055,9.401,9.563,0.322,0.322,-659.367,26.886,0.067,55771000000.0,125.375,-10273000000.0
4,4,2019-03-31,AAL,-1.416,0.436,-96.577,0.013,516000000.0,516000000.0,0.049,245000000.0,47862004205.0,16.0,9.357,353000000.0,0.7859999999999999,1.0,0.539,67683000000.0,14262004205.0,0.017,9.925,10.179,0.319,0.319,-22.425,23.569000000000006,0.244,54581000000.0,121.546,-11195000000.0
5,5,2018-12-31,AAL,-0.3670000000000001,0.477,-359.462,0.012,2822000000.0,2822000000.0,0.258,395000000.0,39099270777.0,13.0,7.667999999999998,-1042000000.0,-2.262,1.0,0.536,69856000000.0,14789270777.0,0.03,10.474,10.563,0.332,0.332,-87.51,23.748,0.14300000000000002,54352000000.0,118.007,-9459000000.0
6,6,2018-09-30,AAL,-1.233,0.581,-93.667,0.01,758000000.0,758000000.0,0.066,496000000.0,42632845897.0,14.0,8.581,-480000000.0,-1.042,1.0,0.532,54359000000.0,19032845897.0,0.032,37.764,34.731,0.43,0.43,-33.509,25.1,0.123,46397000000.0,100.752,-6850000000.0
7,7,2018-06-30,AAL,-1.856,0.55,-61.555,0.011,1019000000.0,1019000000.0,0.08800000000000001,756000000.0,41919074556.0,12.0,7.568,378000000.0,0.807,1.0,0.5529999999999999,53305000000.0,17771074556.0,0.048,22.41,21.816,0.407,0.407,-20.45,24.87,0.083,46374000000.0,99.057,-7493000000.0
