,Time,Ticker,Asset Turnover,Average Assets,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Average Equity,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Invested Capital Average,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Return on Invested Capital,Sales per Share,Payout Ratio,Return on Average Assets,Return on Average Equity,Return on Sales,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
68,2018-01-28,HD,2.237,45113750000.0,1.234,1.169,29.625,0.017,16743000000.0,16743000000.0,0.166,13698000000.0,2878250000.0,264032546315.0,18.0,15.77,10181000000.0,8.642999999999999,1.0,0.34,49493000000.0,48039500000.0,241992546315.0,0.086,28.041,28.271,2.419,2.398,166.43200000000002,0.306,85.65700000000001,0.486,0.191,2.998,0.145,42254000000.0,35.869,2739000000.0
188,2018-01-31,WMT,2.455,203805000000.0,26.0,0.76,1.589,0.019,27321000000.0,27321000000.0,0.055,14462000000.0,76023500000.0,358690862037.0,21.0,13.129000000000001,18664000000.0,6.232,1.0,0.254,147490000000.0,150240000000.0,315789862037.0,0.02,32.021,32.400999999999996,0.638,0.631,4.055,0.11199999999999999,167.05900000000003,0.62,0.048,0.13,0.034,186280000000.0,62.196999999999996,-18857000000.0
48,2018-01-31,CRM,0.57,18487942250.0,14.512,0.9520000000000001,1.119,0.0,1204000000.0,1204000000.0,0.114,420000000.0,8897793000.0,82050662000.0,195.0,68.148,2204000000.0,3.083,1.0,0.737,2807000000.0,1666127750.0,82277193000.0,0.034,228.548,227.82,7.727,7.806,7.93,0.252,14.741,0.0,0.019,0.04,0.04,13697000000.0,19.157,-483000000.0
118,2018-03-30,KO,0.38299999999999995,90709750000.0,4.598,1.208,3.655,0.035,9317000000.0,9317000000.0,0.268,7224000000.0,20200500000.0,217595320728.0,27.0,23.355,5441000000.0,1.276,1.0,0.627,77920000000.0,74885000000.0,185268320728.0,0.040999999999999995,129.197,131.606,5.335,5.336,9.448,0.10800000000000001,8.141,4.545,0.016,0.071,0.23399999999999999,76262000000.0,17.881,6562000000.0
88,2018-03-31,INTC,0.511,125260000000.0,15.012,1.585,0.833,0.021,30309000000.0,30309000000.0,0.473,21548000000.0,69686250000.0,266489440000.0,12.0,8.792,11760000000.0,2.516,1.0,0.62,96992000000.0,95309250000.0,243109440000.0,0.17300000000000001,21.92,22.068,3.802,3.7969999999999997,3.465,0.23,13.699000000000002,0.473,0.08900000000000001,0.159,0.342,91895000000.0,19.660999999999998,11669000000.0
128,2018-03-31,MA,0.628,21256500000.0,5.426,1.6440000000000001,3.0060000000000002,0.005,7470000000.0,7470000000.0,0.56,6847000000.0,5866250000.0,182566585390.0,26.0,24.44,5517000000.0,5.249,1.0,1.0,8388000000.0,7569500000.0,184160585390.0,0.324,42.571000000000005,42.931000000000004,13.797,13.802,32.292,0.925,12.696,0.223,0.204,0.737,0.525,18722000000.0,17.814,5759000000.0
58,2018-03-31,GOOGL,0.607,193096750000.0,231.304,4.874,0.287,0.0,38315000000.0,38315000000.0,0.327,30917000000.0,154678250000.0,714374880264.0,23.0,18.645,21199000000.0,30.489,1.0,0.58,153514000000.0,142924000000.0,721120880264.0,0.142,43.343999999999994,43.303999999999995,6.15,6.15,4.484,0.21600000000000003,168.63400000000001,0.0,0.086,0.10800000000000001,0.264,186264000000.0,267.89099999999996,98367000000.0
158,2018-03-31,PG,0.537,123567500000.0,20.769000000000002,0.91,1.263,0.035,17155000000.0,17155000000.0,0.258,13865000000.0,55215000000.0,230166173812.0,16.0,13.417,10392000000.0,3.928,1.0,0.49200000000000005,53327000000.0,51629000000.0,199865173812.0,0.152,19.84,20.486,3.158,3.01,3.637,0.278,25.101,0.713,0.08199999999999999,0.182,0.21600000000000003,54065000000.0,20.436,-2751000000.0
78,2018-03-31,IBM,0.65,123193000000.0,19.730999999999998,1.375,5.89,0.039,16314000000.0,16314000000.0,0.204,11114000000.0,18451500000.0,176186789976.0,15.0,10.8,13984000000.0,15.187999999999999,1.0,0.465,83424000000.0,81793500000.0,141334789976.0,0.071,24.874000000000002,25.029,1.765,1.765,7.78,0.14400000000000002,86.95100000000001,0.9790000000000001,0.046,0.308,0.147,85032000000.0,92.35600000000001,13389000000.0
8,2018-03-31,AAPL,0.662,373697000000.0,25.25,1.456,1.896,0.015,78745000000.0,78745000000.0,0.318,68423000000.0,133387250000.0,946226901140.0,14.0,12.015999999999998,54697000000.0,10.885,1.0,0.38299999999999995,354963000000.0,362067500000.0,851317901140.0,0.215,15.967,16.070999999999998,3.408,3.4410000000000003,6.71,0.18899999999999997,49.238,0.24100000000000002,0.14300000000000002,0.4,0.27699999999999997,367502000000.0,73.137,40733000000.0
