Date, Close/Last, Volume, Open, High, Low
12/30/2019, $87.96, 1799897, $88.51, $88.8599, $87.51
12/27/2019, $88.37, 1402073, $89.31, $89.389, $88.01
12/26/2019, $89.26, 1041642, $89.3, $89.715, $88.8
12/24/2019, $89.15, 771149, $89.46, $89.63, $88.66
12/23/2019, $89.44, 1906056, $89.72, $90.1, $89.28
12/20/2019, $89.28, 3026482, $89.37, $89.9, $89.05
12/19/2019, $89.22, 2172531, $89.28, $89.78, $89.0501
12/18/2019, $88.84, 1876903, $89.5, $89.98, $88.36
12/17/2019, $89.36, 2218406, $88.57, $89.99, $88.3501
12/16/2019, $88.63, 2090200, $87.95, $89.46, $87.95
12/13/2019, $87.58, 1972842, $88.2, $89.43, $87.42
12/12/2019, $88.47, 2903831, $87.7, $89.9, $87.32
12/11/2019, $87.02, 2418182, $86.47, $87.15, $86.08
12/10/2019, $86.51, 1994909, $87.58, $87.92, $86.36
12/09/2019, $87.61, 2235201, $88.49, $88.58, $87.3
12/06/2019, $88.58, 1485328, $88.79, $89.5, $88.55
12/05/2019, $87.86, 1959655, $89.1, $89.33, $87.6
12/04/2019, $88.17, 2072411, $89.16, $89.81, $88.13
12/03/2019, $88.87, 3393153, $90.6, $90.775, $88.5
12/02/2019, $91.63, 1941963, $93, $93.62, $91.44
11/29/2019, $92.8, 905807, $92.8, $93.49, $92.51
11/27/2019, $93.05, 1602154, $93.06, $93.67, $92.77
11/26/2019, $92.76, 2043490, $92.48, $92.92, $92.02
11/25/2019, $92.52, 1941650, $92.11, $93.13, $91.55
11/22/2019, $91.78, 1440399, $91.1, $91.94, $90.94
11/21/2019, $90.97, 1630935, $91.88, $92.11, $90.77
11/20/2019, $91.7, 3133884, $92.75, $93.46, $90.85
11/19/2019, $93.29, 1606663, $93.13, $93.72, $92.42
11/18/2019, $92.77, 1808656, $92.45, $92.79, $91.45
11/15/2019, $92.51, 1552721, $93, $93.5, $92.32
11/14/2019, $92.52, 1051767, $92.75, $92.95, $91.9
11/13/2019, $92.42, 1863345, $92.62, $92.98, $92.04
11/12/2019, $92.72, 1543614, $93.44, $93.88, $92.66
11/11/2019, $93.53, 1127088, $92.85, $93.82, $92.67
11/08/2019, $93.44, 914941, $93.81, $93.86, $92.605
11/07/2019, $93.8, 3014104, $94, $95.16, $93.56
11/06/2019, $93.34, 1179340, $93.42, $93.6, $92.58
11/05/2019, $93.12, 2623950, $92.63, $93.62, $92.46
11/04/2019, $92.39, 1905931, $92.31, $92.96, $92.03
11/01/2019, $91.65, 2248324, $91.65, $92.52, $91.29
10/31/2019, $90.84, 1997503, $91.12, $91.4, $90.41
10/30/2019, $91.67, 1694758, $91.05, $91.89, $90.41
10/29/2019, $91.03, 1552535, $91.88, $92.38, $90.9
10/28/2019, $92.19, 1841018, $91.83, $92.8, $91.78
10/25/2019, $91.64, 2218463, $89.68, $91.84, $89.67
10/24/2019, $89.81, 2294969, $90.59, $91.51, $89.22
10/23/2019, $89.9, 1644482, $89.65, $90.17, $88.95
10/22/2019, $89.71, 2033340, $90.68, $91.05, $89.62
10/21/2019, $90.78, 2066314, $90.49, $91.5, $90.49
10/18/2019, $90.085, 2722683, $89.43, $90.755, $89.33
10/17/2019, $89.46, 2493214, $90.2, $90.4068, $88.93
10/16/2019, $89.7, 6805187, $89.35, $90.84, $88.22
10/15/2019, $87.88, 4746893, $87.28, $88.66, $86.68
10/14/2019, $86.97, 3457479, $87.11, $87.15, $86.24
10/11/2019, $87.15, 2461176, $88.52, $89.13, $87.12
10/10/2019, $87.34, 2830522, $85.39, $87.76, $84.73
10/09/2019, $86.46, 3163430, $85.74, $87.51, $85.73
10/08/2019, $84.69, 2575541, $84.25, $86.12, $83.9
10/07/2019, $84.85, 2124385, $83.61, $85.26, $83.61
10/04/2019, $84.29, 1957962, $83.53, $84.47, $83.12
10/03/2019, $83.27, 2768483, $83.61, $83.61, $80.87
10/02/2019, $83.69, 4346907, $86, $86.85, $82.0552
10/01/2019, $87.84, 2429757, $89.15, $90.19, $87.23
09/30/2019, $88.41, 1959398, $88.4, $88.98, $87.91
09/27/2019, $88.14, 1668260, $88.85, $90.3, $87.82
09/26/2019, $88.45, 1306010, $89.38, $89.55, $87.77
09/25/2019, $89.17, 1744522, $88.24, $89.88, $88.24
09/24/2019, $88.3, 1563720, $88.97, $89.2, $87.51
09/23/2019, $88.21, 3178752, $88.62, $88.88, $87.42
09/20/2019, $89.09, 2764305, $89.47, $90.0507, $88.92
09/19/2019, $89.42, 2367602, $90.35, $90.62, $89.18
09/18/2019, $90.23, 2174822, $89.7, $90.29, $88.94
09/17/2019, $89.98, 3635129, $89.38, $91.26, $88.79
09/16/2019, $88.76, 3438150, $88.3, $90.1273, $88.17
09/13/2019, $91.35, 3000707, $90.41, $91.84, $89.75
09/12/2019, $89.38, 2724658, $88.68, $89.83, $88.55
09/11/2019, $88.38, 2431520, $87.62, $88.87, $87.17
09/10/2019, $87.56, 1711943, $87.2, $87.785, $86.605
09/09/2019, $87.33, 2123125, $86.49, $87.73, $85.91
09/06/2019, $86.3, 2345125, $86.37, $87.44, $86.2
09/05/2019, $85.84, 2968888, $84.69, $86.87, $84.69
09/04/2019, $83.91, 2739635, $83, $84.86, $83
09/03/2019, $83.15, 2350081, $83.64, $83.76, $82.25
08/30/2019, $84.31, 1929469, $85.2, $85.68, $84.09
08/29/2019, $84.69, 4085102, $83.23, $85.13, $83.23
08/28/2019, $82.45, 2299537, $81.52, $82.99, $81.17
08/27/2019, $81.94, 2213751, $84.28, $84.705, $81.75
08/26/2019, $83.58, 1851387, $83.42, $83.63, $82.45
08/23/2019, $82.53, 3674673, $85.06, $85.65, $82.22
08/22/2019, $85.56, 1310135, $85.3, $85.87, $84.69
08/21/2019, $85.29, 1672641, $84.67, $85.67, $84.626
08/20/2019, $84.03, 1495009, $83.65, $84.43, $83.21
08/19/2019, $83.89, 2268781, $84.02, $84.93, $83.805
08/16/2019, $82.94, 2294252, $82.25, $83.31, $81.84
08/15/2019, $81.62, 3236384, $82.04, $82.23, $80.828
08/14/2019, $81.95, 3250818, $83.05, $83.58, $80.78
08/13/2019, $84.56, 2669290, $84.15, $86.28, $83.525
08/12/2019, $84.71, 2185046, $86.24, $86.24, $83.95
08/09/2019, $86.98, 2078719, $87.46, $87.83, $86.1
08/08/2019, $87.63, 1419870, $86.71, $87.98, $86.59
08/07/2019, $86.48, 2380052, $84.72, $86.96, $84.03
08/06/2019, $85.46, 2369853, $85.91, $86.5722, $84.97
08/05/2019, $85.59, 3721837, $88.88, $88.88, $84.8
08/02/2019, $89.43, 2281848, $90.01, $90.245, $88.83
08/01/2019, $90.49, 2518736, $92.03, $93.04, $89.73
07/31/2019, $91.91, 2125262, $93.56, $93.82, $91.48
07/30/2019, $93.93, 1717369, $92.83, $93.97, $92.48
07/29/2019, $93.44, 1957136, $93.44, $94.05, $93.13
07/26/2019, $93.36, 1684835, $94.02, $94.44, $93.23
07/25/2019, $93.93, 3196204, $94.19, $95.11, $92.96
07/24/2019, $95.11, 2344366, $94.91, $95.455, $94.24
07/23/2019, $94.93, 2105228, $94.14, $94.98, $93.75
07/22/2019, $93.83, 2305149, $94.07, $95.06, $93.77
07/19/2019, $93.83, 3361100, $95.38, $96.03, $93.54
07/18/2019, $95.28, 3300545, $94.32, $95.48, $93.88
07/17/2019, $94.78, 6019468, $94.03, $95.246, $92.34
07/16/2019, $93.92, 4706092, $91.81, $94.4999, $91.8
07/15/2019, $91.32, 2388252, $91.6, $92.43, $91.15
07/12/2019, $91.23, 2895023, $89.7, $91.52, $89.625
07/11/2019, $89.48, 2262280, $89.51, $90.6, $89
07/10/2019, $89.51, 2395319, $90.31, $91.07, $88.92
07/09/2019, $89.46, 3912846, $90.38, $90.93, $89.21
07/08/2019, $90.67, 2514955, $90.16, $91.48, $90.1
07/05/2019, $90.59, 3227673, $90.39, $90.95, $89.07
07/03/2019, $90.67, 1647124, $89.14, $91.08, $89.14
07/02/2019, $88.87, 2237183, $89.21, $90, $87.95
07/01/2019, $88.45, 4017249, $88.84, $89.72, $87.77
06/28/2019, $87.55, 3025379, $86.66, $87.74, $86.66
06/27/2019, $86.43, 1394847, $85.65, $86.86, $85.13
06/26/2019, $85.33, 2034693, $85.38, $85.81, $84.75
06/25/2019, $85.06, 2481284, $86.63, $87.23, $84.81
06/24/2019, $86.55, 1507828, $86.78, $87.11, $86.055
06/21/2019, $86.72, 2461939, $86.31, $88.16, $86.31
06/20/2019, $87.14, 3261860, $89.32, $89.41, $85.89
06/19/2019, $88.66, 2091617, $87.76, $88.88, $87.14
06/18/2019, $87.4, 1694109, $87.42, $88.66, $87.105
06/17/2019, $86.77, 1820598, $87.27, $87.56, $86.31
06/14/2019, $87.12, 1652511, $87.07, $87.91, $86.01
06/13/2019, $87.11, 3864970, $84.05, $87.74, $84.05
06/12/2019, $83.79, 1999992, $82.86, $84.29, $82.84
06/11/2019, $82.77, 1894357, $83.34, $83.78, $82.07
06/10/2019, $82.67, 1697764, $83.62, $84.5397, $82.57
06/07/2019, $83.27, 1475833, $83.09, $84.85, $83.09
06/06/2019, $82.96, 2390326, $83.14, $84.01, $81.9297
06/05/2019, $81.85, 2002536, $80.94, $81.98, $80.49
06/04/2019, $80.52, 3026503, $78.86, $80.67, $78.55
06/03/2019, $77.72, 2065458, $77.38, $78.73, $77.35
05/31/2019, $77.65, 3554131, $78.52, $79.52, $77.4
05/30/2019, $79.47, 1528867, $79.29, $80.4, $79.04
05/29/2019, $79.25, 3133154, $79.5, $79.5301, $78.1
05/28/2019, $79.81, 2242085, $80.5, $80.79, $79.66
05/24/2019, $80.79, 2266313, $81.25, $81.75, $80.47
